LONGITUDE,LATITUDE,res,faults,dem,mag,grav,geol,deposit
139.1794355,-29.8776375,2.2135,0.010691072793081171,187.29742431640625,-118.07489013671875,1.8525986671447754,Crustal element Muloorina,1
138.8087675,-30.0862964,2.3643,0.10374064416289676,179.49923706054688,-209.41050720214844,-12.722121238708496,Crustal element Adelaide,1
138.7522805,-30.4456844,2.1141,0.006659403580910924,398.3368225097656,-159.56642150878906,-6.2497878074646,Crustal element Adelaide,1
138.5305055,-30.5332254,2.2234,0.013925359938719973,335.9834289550781,-131.1764373779297,-11.665315628051758,Crustal element Adelaide,1
138.8870185,-30.5654795,2.1982,0.007356262640422581,554.2781982421875,-192.36329650878906,-1.0257019996643066,Crustal element Adelaide,1
138.3609045,-30.4854964,2.0959,0.07664779739837073,241.68789672851562,-164.36732482910156,-16.063495635986328,Crustal element Adelaide,1
138.7092745,-30.4860694,2.1484,0.052219751503616386,473.87188720703125,-158.4617919921875,-6.430958271026611,Crustal element Adelaide,1
138.7029815,-30.5056234,2.1484,0.07102482538948536,496.5275573730469,-140.93211364746094,-5.966814994812012,Crustal element Adelaide,1
138.5963485,-30.4725024,2.1543,0.025207358579787578,384.5520324707031,-157.69781494140625,-12.788213729858398,Crustal element Adelaide,1
139.2192784,-31.5100885,2.1916,0.0332586885601202,147.1835174560547,74.10708618164062,-18.35393714904785,Crustal element Adelaide,1
138.6760805,-31.0668194,2.3962,0.020732594659537747,631.1346435546875,65.66991424560547,-7.075568199157715,Crustal element Adelaide,1
138.7989574,-31.0715615,2.2082,0.002167816038058795,530.0963745117188,27.921146392822266,-1.722355842590332,Crustal element Adelaide,1
138.7969754,-31.0724595,2.2082,0.001286692119932933,530.0963745117188,27.921146392822266,-1.722355842590332,Crustal element Adelaide,1
138.8484184,-31.0775685,2.1074,0.007495497363813418,496.9371643066406,-2.021637439727783,-1.5260825157165527,Crustal element Adelaide,1
139.0358424,-30.9441815,2.1096,0.06165745838668756,337.0137939453125,142.87904357910156,-1.1185076236724854,Crustal element Adelaide,1
138.8416444,-31.0872945,1.9452,0.0021950745190939037,461.9853515625,19.88384246826172,-0.07810741662979126,Crustal element Adelaide,1
138.9002694,-30.9497935,2.0914,0.021304034918409744,468.67486572265625,14.344758987426758,-1.2481437921524048,Crustal element Adelaide,1
138.8222864,-31.0930045,1.9452,0.009201655661468619,496.9935607910156,34.7745246887207,1.4435365200042725,Crustal element Adelaide,1
139.2459504,-30.7270105,2.2575,0.0009494845144985347,244.8915557861328,641.2097778320312,-0.5338386297225952,Crustal element Adelaide,1
139.2304424,-30.7131435,2.2575,0.0009568722828376357,249.18722534179688,525.5399780273438,-0.35305941104888916,Crustal element Adelaide,1
138.8709265,-30.5815445,2.1982,0.018891705122544927,564.71484375,-177.4425048828125,-1.484442949295044,Crustal element Adelaide,1
138.8754685,-30.5836035,2.1982,0.016297189332952922,560.2750244140625,-186.02587890625,-1.1101046800613403,Crustal element Adelaide,1
138.4409325,-31.0204344,2.1995,0.0027572161270258176,194.59339904785156,-168.0458221435547,-9.648691177368164,Crustal element Adelaide,1
139.2084454,-31.3739975,2.1693,0.03476225999879638,140.1268310546875,291.1265563964844,-11.943524360656738,Crustal element Adelaide,1
138.5420425,-31.3835574,1.9405,0.001719288700960205,327.32275390625,146.79812622070312,-15.901084899902344,Crustal element Adelaide,1
138.9150994,-31.2868495,2.1513,0.01871321206776621,311.17669677734375,360.6479187011719,-0.08453188091516495,Crustal element Adelaide,1
138.9456424,-31.2878835,2.0824,0.0013916577972258207,295.7777404785156,377.2409362792969,-0.7418076992034912,Crustal element Adelaide,1
138.1975525,-32.0273954,2.2494,0.0033554991652463484,199.7666778564453,114.81522369384766,-32.91091537475586,Crustal element Adelaide,1
139.2153774,-31.4506035,2.1916,0.011728554770708522,214.5146484375,200.25674438476562,-20.918014526367188,Crustal element Adelaide,1
138.0979575,-32.0342584,2.2729,0.03544852347331923,228.71530151367188,187.28614807128906,-37.309234619140625,Olympic Domain,1
138.3682484,-32.0711994,2.0347,0.06740501507796227,341.7467041015625,-98.00529479980469,-34.35919189453125,Crustal element Adelaide,1
139.1760924,-31.5759605,2.1929,0.030554363732334597,248.37109375,66.91719055175781,-16.281909942626953,Crustal element Adelaide,1
137.1864656,-31.5761334,2.1254,0.7722981859096771,77.25016784667969,394.7933654785156,-18.949310302734375,Olympic Domain,1
137.1937116,-31.5841264,2.1254,0.7632142118094265,77.25016784667969,394.7933654785156,-18.949310302734375,Olympic Domain,1
138.4387884,-31.9072584,2.1587,0.06167826700754609,365.4253234863281,-110.24410247802734,-31.943592071533203,Crustal element Adelaide,1
139.1813474,-31.4555365,2.1916,0.0011939777184564193,228.0138397216797,229.51480102539062,-23.333833694458008,Crustal element Adelaide,1
138.7718364,-31.9808195,2.7299,0.05354004504310206,618.20458984375,-476.97113037109375,-26.519012451171875,Crustal element Adelaide,1
138.7297354,-31.6870495,2.0307,0.0027143301526740657,489.939208984375,-304.820068359375,-22.417922973632812,Crustal element Adelaide,1
138.3455015,-32.0484514,2.0347,0.03946107609619042,389.23516845703125,-64.97348022460938,-35.90545654296875,Crustal element Adelaide,1
137.2092116,-31.5980194,2.1254,0.7447160088992838,67.49845123291016,536.2301025390625,-22.05239486694336,Olympic Domain,1
137.1815906,-31.6877864,2.2416,0.75529466832448,73.3449478149414,379.3514099121094,-22.121471405029297,Olympic Domain,1
137.2367056,-31.6905374,2.2416,0.7002727321638146,67.63404083251953,299.3626403808594,-24.890548706054688,Olympic Domain,1
140.3346962,-31.8277715,2.2953,0.21827657569286465,174.86895751953125,1554.5577392578125,-15.746345520019531,"Willyama Inliers, ""cratonic nucleus""",1
138.3835514,-32.0544734,2.0347,0.05596426084082167,358.7003173828125,-106.5575180053711,-34.612831115722656,Crustal element Adelaide,1
137.2012226,-31.4102824,2.0234,0.8010622531368058,62.1728401184082,472.91656494140625,-0.12167401611804962,Olympic Domain,1
139.2142674,-31.5140565,2.1916,0.03350011238638912,159.39662170410156,89.91151428222656,-18.870481491088867,Crustal element Adelaide,1
139.1903674,-31.5226965,2.1916,0.028775650959484016,157.69903564453125,106.10385131835938,-18.621984481811523,Crustal element Adelaide,1
139.1931134,-31.6166135,2.2309,0.012274009387713909,233.56593322753906,-15.288688659667969,-17.660160064697266,Crustal element Adelaide,1
139.1748614,-31.7032685,2.2309,0.06761069464837555,229.55328369140625,-188.38844299316406,-15.400322914123535,Crustal element Adelaide,1
137.1953526,-31.7220704,2.2416,0.7381193859050211,70.26384735107422,256.64892578125,-23.052780151367188,Olympic Domain,1
139.1192144,-31.8415875,2.1747,0.025111101783354257,481.9197998046875,10.6145601272583,-7.244697093963623,Crustal element Adelaide,1
139.1024534,-31.9221555,2.1351,0.007219507313821976,344.749267578125,-351.6822814941406,-12.680166244506836,Crustal element Adelaide,1
138.4011924,-32.0259804,2.0347,0.033011572696978124,392.2578430175781,-134.77194213867188,-34.23268127441406,Crustal element Adelaide,1
137.2182516,-31.4233374,2.0234,0.7848238530086832,62.394371032714844,668.7848510742188,0.4114287793636322,Olympic Domain,1
138.5572075,-31.4234904,1.9405,0.02108216981106797,342.7730407714844,135.16363525390625,-14.332127571105957,Crustal element Adelaide,1
138.5167005,-31.4247134,2.0289,0.001540925920066616,281.73095703125,107.1412124633789,-20.054454803466797,Crustal element Adelaide,1
