LONGITUDE,LATITUDE,res,faults,dem,mag,grav,geol
130.0,-36.0,-0.5216,3.837755948471473,0.0,0.0,0.0,-9999
130.0,-35.898989898989896,-0.5216,3.7716745525070388,0.0,0.0,0.0,-9999
130.0,-35.7979797979798,-0.5216,3.7071678166819404,0.0,0.0,0.0,-9999
130.0,-35.696969696969695,-0.5223,3.6443193593684438,0.0,0.0,0.0,-9999
130.0,-35.5959595959596,-0.5223,3.5832164386351373,0.0,0.0,0.0,-9999
130.0,-35.494949494949495,-0.5229,3.5239498549432624,0.0,0.0,0.0,-9999
130.0,-35.39393939393939,-0.5229,3.4666137937786417,0.0,0.0,0.0,-9999
130.0,-35.292929292929294,-0.5235,3.4113055992230046,0.0,0.0,0.0,-9999
130.0,-35.19191919191919,-0.524,3.358125469421328,0.0,0.0,0.0,-9999
130.0,-35.09090909090909,-0.5246,3.30717606523668,0.0,0.0,0.0,-9999
130.0,-34.98989898989899,-0.5255,3.2585620242040267,0.0,0.0,0.0,-9999
130.0,-34.888888888888886,-0.5264,3.2123893733025364,0.0,0.0,0.0,-9999
130.0,-34.78787878787879,-0.5274,3.1687648361532985,0.0,0.0,0.0,-9999
130.0,-34.686868686868685,-0.5285,3.088307789070599,0.0,0.0,0.0,-9999
130.0,-34.58585858585859,-0.5297,2.9873054412892976,0.0,0.0,0.0,-9999
130.0,-34.484848484848484,-0.531,2.886303636156677,0.0,0.0,0.0,-9999
130.0,-34.38383838383838,-0.5323,2.7853024327060085,0.0,0.0,0.0,-9999
130.0,-34.282828282828284,-0.5338,2.6843018988550718,0.0,0.0,0.0,?Nuyts Domain
130.0,-34.18181818181818,-0.5376,2.5833021131427856,0.0,0.0,0.0,?Nuyts Domain
130.0,-34.08080808080808,-0.5401,2.482303166889814,0.0,0.0,0.0,?Nuyts Domain
130.0,-33.97979797979798,-0.5431,2.381305166908794,0.0,0.0,0.0,?Nuyts Domain
130.0,-33.878787878787875,-0.5468,2.2803082389348126,0.0,0.0,0.0,?Nuyts Domain
130.0,-33.77777777777778,-0.5513,2.1793125320094924,0.0,0.0,0.0,?Nuyts Domain
130.0,-33.676767676767675,-0.5572,2.078318224143111,0.0,0.0,0.0,?Nuyts Domain
130.0,-33.57575757575758,-0.5648,1.9773255297116088,0.0,0.0,0.0,?Nuyts Domain
130.0,-33.474747474747474,-0.5752,1.8763347092417513,0.0,0.0,0.0,?Fowler Domain
130.0,-33.37373737373737,-0.5899,1.7753460825353191,0.0,0.0,0.0,?Fowler Domain
130.0,-33.27272727272727,-0.6341,1.6743600465413186,0.0,0.0,0.0,?Fowler Domain
130.0,-33.17171717171717,-0.6481,1.5733771001086505,0.0,0.0,0.0,?Fowler Domain
130.0,-33.07070707070707,-0.6648,1.4723978789209562,0.0,0.0,0.0,?Fowler Domain
130.0,-32.96969696969697,-0.6765,1.3714232058586713,0.0,0.0,0.0,?Fowler Domain
130.0,-32.86868686868687,-0.6834,1.2704541653662995,0.0,0.0,0.0,?Fowler Domain
130.0,-32.76767676767677,-0.6826,1.1694922163219426,0.0,0.0,0.0,?Fowler Domain
130.0,-32.666666666666664,-0.6758,1.0685393688539417,0.0,0.0,0.0,?Fowler Domain
130.0,-32.56565656565657,-0.6638,0.9675984717619743,0.0,0.0,0.0,?Fowler Domain
130.0,-32.464646464646464,-0.6165,0.8666737006126144,0.0,0.0,0.0,?Fowler Domain
130.0,-32.36363636363637,-0.5759,0.765771431383525,0.0,0.0,0.0,?Fowler Domain
130.0,-32.26262626262626,-0.522,0.6649019084984733,0.0,0.0,0.0,?Fowler Domain
130.0,-32.16161616161616,-0.4588,0.5640826993790845,0.0,0.0,0.0,?Fowler Domain
130.0,-32.06060606060606,-0.3948,0.4633466483798348,0.0,0.0,0.0,?Fowler Domain
130.0,-31.95959595959596,-0.3361,0.36276303891520245,0.0,0.0,0.0,?Fowler Domain
130.0,-31.858585858585858,-0.2863,0.26250716038482413,0.0,0.0,0.0,?Fowler Domain
130.0,-31.757575757575758,-0.2513,0.16318418157332593,0.0,0.0,0.0,
130.0,-31.656565656565657,-0.2378,0.06895089550071104,0.0,0.0,0.0,
130.0,-31.555555555555557,2.4356,0.0573188963351972,66.31965637207031,635.229248046875,-45.5181999206543,
130.0,-31.454545454545453,2.249,0.010991332563786963,81.3695068359375,490.0704650878906,-50.46169662475586,
130.0,-31.353535353535353,2.117,0.0037135606726854354,88.43782806396484,510.7911376953125,-45.911712646484375,
130.0,-31.252525252525253,2.0146,0.0911866342154051,95.62881469726562,754.6781616210938,-39.36762237548828,
130.0,-31.151515151515152,1.9441,0.02271440104933854,104.55606842041016,436.35382080078125,-40.991302490234375,
130.0,-31.050505050505052,1.8652,0.05602259135062466,116.84880065917969,129.65533447265625,-49.20962142944336,
130.0,-30.949494949494948,1.7743,0.037311196492155425,127.45418548583984,-45.92932891845703,-45.2120246887207,
130.0,-30.848484848484848,1.8172,0.049275684962644006,135.37887573242188,19.047283172607422,-43.1553840637207,
130.0,-30.747474747474747,1.9234,0.08270114496592308,138.95437622070312,154.27488708496094,-52.727272033691406,
130.0,-30.646464646464647,1.916,0.010658614757660495,137.72775268554688,140.99159240722656,-60.02757263183594,
130.0,-30.545454545454547,1.8747,0.0618200833376107,144.75367736816406,-154.6870574951172,-57.99504089355469,Hughes Domain
130.0,-30.444444444444443,1.8531,0.12993245114550311,150.8647918701172,-182.03846740722656,-49.80045700073242,Hughes Domain
130.0,-30.343434343434343,1.8924,0.07258116386462202,141.00218200683594,-85.89982604980469,-42.97421646118164,Hughes Domain
